SETTINGS
RANDOM_BINARY_SEARCH_COUNT,262144

LINEAL_VECTOR
size_MiB,gen_time_ms,sort_time_ms,true_search_time_ms,true_search_found,true_search_not_found,select_search_time_ms,select_search_found,select_search_not_found,gc_gen_time,gc_word_size,gc_total_bits,gc_sample_size_bits,gc_true_search_time_ms,gc_true_search_found,gc_true_search_not_found,gc_select_search_time_ms,gc_select_search_found,gc_select_search_not_found,sf_gen_time_ms,sf_search_time_ms,space_bits_compressed,space_bits_explicit
64,287,123,12,0,262144,261,262144,0,70,8,67108864,185344,1427,0,262144,2278,262144,0,1576,49181,67510976,536870912
128,197,259,14,0,262144,303,262144,0,111,8,134217728,262080,3368,0,262144,3291,262144,0,2502,69008,134742016,1073741824
192,289,422,12,0,262144,332,262144,0,150,8,201326592,321088,461,0,262144,4058,262144,0,3851,82131,201968896,1610612736
256,420,537,28,0,262144,370,262144,0,241,8,268435456,370752,1138,0,262144,4714,262144,0,5063,98637,269177088,2147483648
320,580,793,32,0,262144,498,262144,0,339,8,335544320,414464,4007,0,262144,5538,262144,0,7421,105714,336373376,2684354560
384,665,848,23,0,262144,433,262144,0,364,8,402653184,454016,5797,0,262144,5851,262144,0,7761,121216,403561344,3221225472
448,825,1056,25,0,262144,480,262144,0,436,8,469762048,490432,5498,0,262144,6470,262144,0,9227,125680,470743040,3758096384
512,782,1111,44,0,262144,489,262144,0,479,8,536870912,524224,6977,0,262144,6823,262144,0,10194,134861,537919488,4294967296
576,886,1265,23,0,262144,506,262144,0,543,8,603979776,556096,6459,0,262144,7318,262144,0,11543,135403,605092096,4831838208
640,972,1442,25,0,262144,530,262144,0,608,8,671088640,586176,6776,0,262144,7700,262144,0,12980,151081,672261120,5368709120
704,1081,1614,24,0,262144,551,262144,0,665,8,738197504,614784,7714,0,262144,8066,262144,0,14278,162616,739427200,5905580032
768,1174,1769,33,0,262144,554,262144,0,725,8,805306368,642112,1876,0,262144,8602,262144,0,15922,154507,806590720,6442450944
832,1280,1897,21,0,262144,586,262144,0,783,8,872415232,668352,5177,0,262144,8784,262144,0,16883,170642,873752064,6979321856
896,1408,2029,26,0,262144,588,262144,0,846,8,939524096,693568,9197,0,262144,9139,262144,0,18243,183850,940911360,7516192768
960,1474,2162,23,0,262144,609,262144,0,905,8,1006632960,717888,6831,0,262144,9468,262144,0,19443,190314,1008068864,8053063680
1024,1587,2322,53,0,262144,651,262144,0,966,8,1073741824,741440,4668,0,262144,9815,262144,0,20748,189030,1075224832,8589934592


NORMAL_VECTOR
size_MiB,standard_deviation_sigma,gen_time_ms,sort_time_ms,true_search_time_ms,true_search_found,true_search_not_found,select_search_time_ms,select_search_found,select_search_not_found,gc_gen_time,gc_word_size,gc_total_bits,gc_sample_size_bits,gc_true_search_time_ms,gc_true_search_found,gc_true_search_not_found,gc_select_search_time_ms,gc_select_search_found,gc_select_search_not_found,sf_gen_time_ms,sf_search_time_ms,space_bits_compressed,space_bits_explicit
64,1,329,148,14,0,262144,15,262144,0,50,1,8388608,185344,1366,0,262144,11,262144,0,414,9,8759424,536870912
64,2,316,178,12,0,262144,20,262144,0,51,1,8388608,185344,1362,0,262144,12,262144,0,377,11,8759424,536870912
64,3,292,180,13,0,262144,32,262144,0,50,2,16777216,185344,1356,0,262144,12,262144,0,379,12,8759488,536870912
64,4,282,204,13,0,262144,36,262144,0,51,1,8388608,185344,1366,0,262144,13,262144,0,378,12,8759424,536870912
128,1,626,316,12,0,262144,16,262144,0,98,1,16777216,262080,3065,0,262144,10,262144,0,837,9,17301504,1073741824
128,2,626,368,12,0,262144,23,262144,0,99,2,33554432,262080,3229,0,262144,12,262144,0,833,11,17301568,1073741824
128,3,643,385,32,0,262144,101,262144,0,96,1,16777216,262080,3087,0,262144,13,262144,0,892,12,17301504,1073741824
128,4,559,413,31,0,262144,107,262144,0,97,1,16777216,262080,3091,0,262144,14,262144,0,890,13,17301504,1073741824
192,1,925,465,24,0,262144,42,262144,0,146,1,25165824,321088,450,0,262144,11,262144,0,1365,9,25808128,1610612736
192,2,951,619,30,0,262144,66,262144,0,166,1,25165824,321088,439,0,262144,12,262144,0,1371,11,25808128,1610612736
192,3,870,572,23,0,262144,105,262144,0,149,2,50331648,321088,448,0,262144,12,262144,0,1353,12,25808192,1610612736
192,4,968,607,27,0,262144,106,262144,0,162,1,25165824,321088,442,0,262144,14,262144,0,1385,13,25808128,1610612736
256,1,1242,665,36,0,262144,52,262144,0,199,1,33554432,370752,1085,0,262144,11,262144,0,1835,9,34296064,2147483648
256,2,1251,735,33,0,262144,86,262144,0,197,1,33554432,370752,1087,0,262144,12,262144,0,1820,11,34296064,2147483648
256,3,1298,821,38,0,262144,117,262144,0,197,1,33554432,370752,1092,0,262144,13,262144,0,1989,12,34296064,2147483648
256,4,1165,860,37,0,262144,135,262144,0,198,3,100663296,370752,1169,0,262144,14,262144,0,1872,13,34296128,2147483648
320,1,1555,837,24,0,262144,35,262144,0,247,1,41943040,414464,3506,0,262144,11,262144,0,2481,18,42772096,2684354560
320,2,1565,913,28,0,262144,83,262144,0,251,1,41943040,414464,3542,0,262144,13,262144,0,2353,11,42772096,2684354560
320,3,1448,983,30,0,262144,106,262144,0,248,1,41943040,414464,3504,0,262144,13,262144,0,2271,12,42772096,2684354560
320,4,1499,1082,28,0,262144,119,262144,0,251,1,41943040,414464,3507,0,262144,14,262144,0,2302,13,42772096,2684354560
384,1,1886,997,15,0,262144,60,262144,0,300,1,50331648,454016,5347,0,262144,11,262144,0,2947,9,51239808,3221225472
384,2,2072,1114,19,0,262144,95,262144,0,297,1,50331648,454016,5358,0,262144,13,262144,0,2817,12,51239808,3221225472
384,3,1790,1163,19,0,262144,122,262144,0,297,1,50331648,454016,5335,0,262144,13,262144,0,2848,12,51239808,3221225472
384,4,1759,1262,23,0,262144,125,262144,0,308,1,50331648,454016,5507,0,262144,14,262144,0,2779,13,51239808,3221225472
448,1,2205,1195,22,0,262144,47,262144,0,347,1,58720256,490432,4989,0,262144,11,262144,0,3384,10,59701248,3758096384
448,2,2297,1240,22,0,262144,72,262144,0,357,1,58720256,490432,4990,0,262144,13,262144,0,3247,11,59701248,3758096384
448,3,2264,1494,21,0,262144,99,262144,0,362,2,117440512,490432,5201,0,262144,14,262144,0,3263,12,59701312,3758096384
448,4,1979,1437,16,0,262144,104,262144,0,352,1,58720256,490432,4978,0,262144,14,262144,0,3252,13,59701248,3758096384
512,1,2592,1329,31,0,262144,61,262144,0,399,1,67108864,524224,6398,0,262144,11,262144,0,5593,10,68157440,4294967296
512,2,3269,1501,37,0,262144,69,262144,0,405,1,67108864,524224,6438,0,262144,13,262144,0,3708,13,68157440,4294967296
512,3,2399,1681,35,0,262144,93,262144,0,391,1,67108864,524224,6400,0,262144,14,262144,0,3678,13,68157440,4294967296
512,4,2304,1669,31,0,262144,114,262144,0,393,1,67108864,524224,6435,0,262144,15,262144,0,3688,14,68157440,4294967296
576,1,2836,1484,20,0,262144,22,262144,0,446,1,75497472,556096,6046,0,262144,11,262144,0,4449,11,76609792,4831838208
576,2,3004,1683,21,0,262144,43,262144,0,453,1,75497472,556096,6068,0,262144,13,262144,0,4245,11,76609792,4831838208
576,3,2665,1848,21,0,262144,63,262144,0,470,1,75497472,556096,6189,0,262144,14,262144,0,4195,12,76609792,4831838208
576,4,2659,2010,20,0,262144,73,262144,0,450,1,75497472,556096,6057,0,262144,14,262144,0,4429,18,76609792,4831838208
640,1,3211,1729,26,0,262144,24,262144,0,502,1,83886080,586176,6500,0,262144,11,262144,0,4797,9,85058560,5368709120
640,2,3165,1900,25,0,262144,45,262144,0,505,1,83886080,586176,6496,0,262144,13,262144,0,5004,13,85058560,5368709120
640,3,3021,2050,24,0,262144,72,262144,0,504,1,83886080,586176,6501,0,262144,14,262144,0,4941,14,85058560,5368709120
640,4,2957,2027,29,0,262144,85,262144,0,514,2,167772160,586176,6488,0,262144,15,262144,0,5025,15,85058624,5368709120
704,1,3610,1782,24,0,262144,27,262144,0,545,1,92274688,614784,7368,0,262144,11,262144,0,5648,11,93504384,5905580032
704,2,3629,2220,21,0,262144,35,262144,0,555,1,92274688,614784,7399,0,262144,14,262144,0,5635,13,93504384,5905580032
