size_MiB,standard_deviation_sigma,gen_time_ms,sort_time_ms,true_search_time_ms,true_search_found,true_search_not_found,select_search_time_ms,select_search_found,select_search_not_found,gc_gen_time,gc_word_size,gc_total_bits,gc_sample_size_bits,gc_true_search_time_ms,gc_true_search_found,gc_true_search_not_found,gc_select_search_time_ms,gc_select_search_found,gc_select_search_not_found,sf_gen_time_ms,sf_search_time_ms,space_bits_compressed,space_bits_explicit
8,2,14,6,0.50,262100,44,0.54,262100,44,9,9,73728000,6400,2.51,262100,44,2.28,262100,44,46,1.88,19660800,536870912
8,3,14,6,0.48,262100,44,0.52,262100,44,10,10,81920000,6400,2.68,262100,44,2.45,262100,44,52,2.05,21495808,536870912
8,4,15,6,0.51,262100,44,0.55,262100,44,10,11,90112000,6400,2.87,262100,44,2.63,262100,44,58,2.21,23330816,536870912
16,1,27,12,0.64,262100,44,0.68,262100,44,19,9,147456000,6400,5.02,262100,44,4.51,262100,44,85,2.34,39321600,1073741824
16,2,28,12,0.63,262100,44,0.67,262100,44,19,10,167772160,6400,5.43,262100,44,4.82,262100,44,94,2.56,44564480,1073741824
16,3,29,13,0.65,262100,44,0.69,262100,44,20,11,184549376,6400,5.87,262100,44,5.18,262100,44,105,2.78,49807360,1073741824
16,4,30,13,0.67,262100,44,0.71,262100,44,21,12,201326592,6400,6.34,262100,44,5.57,262100,44,116,3.02,54525952,1073741824
32,1,56,25,0.76,262100,44,0.81,262100,44,40,9,307200000,6400,10.67,262100,44,9.48,262100,44,182,3.18,82042880,2147483648
32,2,57,24,0.75,262100,44,0.80,262100,44,40,10,369098752,6400,11.52,262100,44,10.23,262100,44,202,3.47,99090432,2147483648
32,3,59,26,0.77,262100,44,0.82,262100,44,42,11,405798912,6400,12.42,262100,44,11.02,262100,44,225,3.79,108789760,2147483648
32,4,60,26,0.80,262100,44,0.85,262100,44,43,12,452984832,6400,13.38,262100,44,11.85,262100,44,250,4.13,121634816,2147483648
64,1,116,52,0.89,262100,44,0.95,262100,44,86,9,654311424,6400,23.18,262100,44,20.56,262100,44,393,4.77,175177728,4294967296
64,2,118,51,0.87,262100,44,0.93,262100,44,87,10,805306368,6400,25.04,262100,44,22.12,262100,44,434,5.21,214748364,4294967296
64,3,121,54,0.91,262100,44,0.97,262100,44,90,11,887503360,6400,27.04,262100,44,23.82,262100,44,482,5.68,232716288,4294967296
64,4,124,55,0.94,262100,44,1.01,262100,44,92,12,989855744,6400,29.17,262100,44,25.66,262100,44,534,6.18,254609408,4294967296
128,1,241,109,1.04,262100,44,1.13,262100,44,188,9,1409286144,6400,50.42,262100,44,44.56,262100,44,850,7.18,375781376,8589934592
128,2,245,107,1.02,262100,44,1.10,262100,44,189,10,1744830464,6400,54.51,262100,44,48.05,262100,44,937,7.84,461373952,8589934592
128,3,250,112,1.07,262100,44,1.16,262100,44,193,11,1912602624,6400,58.76,262100,44,51.74,262100,44,1044,8.54,506159104,8589934592
128,4,256,114,1.11,262100,44,1.21,262100,44,197,12,2139095040,6400,63.24,262100,44,55.57,262100,44,1162,9.28,556121088,8589934592
256,1,501,227,1.23,262100,44,1.34,262100,44,410,9,3019898880,6400,109.54,262100,44,96.42,262100,44,1837,10.87,806453760,17179869184
256,2,510,223,1.20,262100,44,1.31,262100,44,412,10,3758096384,6400,118.34,262100,44,104.10,262100,44,2023,11.87,1006632960,17179869184
256,3,521,232,1.26,262100,44,1.38,262100,44,418,11,4126195712,6400,127.86,262100,44,112.45,262100,44,2259,12.95,1101004800,17179869184
256,4,533,237,1.31,262100,44,1.44,262100,44,424,12,4611677184,6400,138.07,262100,44,121.47,262100,44,2515,14.15,1207959552,17179869184
